"Value","Frequency","average_fraud_flag"
"RETAILER CAMDEN LEATHER SNUGGLER DARK L",4,0
"RETAILER CAMDEN LEATHER STORAGE FOOTSTO",3,0
"RETAILER CAMDEN LHF STORAGE CHAISE END",1,0
"RETAILER CAMDEN MANUAL RECLINER ARMCHAI",4,0
"RETAILER CAMDEN MANUAL RECLINER LEATHER",4,0
"RETAILER CAMDEN MEDIUM 2 SEATER LEATHER",10,0
"RETAILER CAMDEN MEDIUM 2 SEATER SOFA",21,0
"RETAILER CAMDEN MEDIUM 2 SEATER SOFA BE",7,0
"RETAILER CAMDEN MEDIUM 2 SEATER SOFA DA",1,0
"RETAILER CAMDEN MEDIUM 2 SEATER SOFA LI",4,0
"RETAILER CAMDEN RHF CORNER END CHAISE U",3,0
"RETAILER CAMDEN RHF STORAGE CHAISE END",1,0
"RETAILER CAMDEN SMALL 2 SEATER LEATHER",4,0
"RETAILER CAMDEN SMALL 2 SEATER SOFA",11,0
"RETAILER CAMDEN SMALL 2 SEATER SOFA LIG",1,0
"RETAILER CAMDEN SNUGGLER",13,0
"RETAILER CAMDEN STORAGE FOOTSTOOL",33,0
"RETAILER CAMFORD II ARMCHAIR",2,0
"RETAILER CAMFORD II LEATHER ARMCHAIR DA",1,0
"RETAILER CAMFORD II PETITE 2 SEATER LEA",1,0
"RETAILER CAMFORD LEATHER ARMCHAIR BUFFA",15,0
"RETAILER CAMFORD LEATHER ARMCHAIR GALVE",1,0
"RETAILER CAMFORD LEATHER ARMCHAIR PICAS",4,0
"RETAILER CAMFORD PETITE LEATHER SOFA GA",1,0
"RETAILER CAMFORD PETITE SOFA",2,0
"RETAILER CANDY STRIPE ROBE GREEN XL",1,0
"RETAILER CANE ACCENT ARMCHAIR LIGHT LEG",3,0
"RETAILER CAPE ARMCHAIR",3,0
"RETAILER CAPE GRAND 4 SEATER SOFA",4,0
"RETAILER CAPE LARGE 3 SEATER SOFA",8,0
"RETAILER CAPE LARGE 3 SEATER SOFA LIGHT",1,0
"RETAILER CAPE LEATHER ARMCHAIR DARK LEG",3,0
"RETAILER CAPE MEDIUM 2 SEATER LEATHER S",2,0
"RETAILER CAPE MEDIUM 2 SEATER SOFA",7,0
"RETAILER CAPE MEDIUM 2 SEATER SOFA LIGH",3,0
"RETAILER CAPE SMALL 2 SEATER LEATHER SO",1,0
"RETAILER CAPE SMALL 2 SEATER SOFA",1,0
"RETAILER CAPE UPHOLSTERED DINING CHAIRS",6,0
"RETAILER CARBON STEEL WOK 24CM",2,0
"RETAILER CARBON STEEL WOK 35CM",1,0
"RETAILER CARMINE EASY-TO-FIT CEILING SH",4,0
"RETAILER CARTER DESK OAK WHITE",5,0
"RETAILER CARVED 5 DRAWER CHEST WALNUT",3,0
"RETAILER CARVED BEDSIDE TABLE WALNUT",2,0
"RETAILER CASHMERE BLEND SNOOD RED BERRY",1,0
"RETAILER CASHMERE BLEND THROW GREY",1,0
"RETAILER CASHMERE CREW NECK CARDIGAN CO",1,0
"RETAILER CASHMERE CREW NECK JUMPER COBA",1,0
"RETAILER CASHMERE CREW NECK JUMPER ORAN",1,0
"RETAILER CASHMERE CREW NECK JUMPER PINK",2,0
"RETAILER CASHMERE HALF ZIP JUMPER TEAL",1,0
"RETAILER CASSIE LAMPSHADE BERRY RED CHA",1,0
"RETAILER CASSIE LAMPSHADE BLACK BRASS D",1,0
"RETAILER CASSIE LAMPSHADE ROSA CHAMPAGN",1,0
"RETAILER CASSIE LAMPSHADE SAPPHIRE CHAM",1,0
"RETAILER CAST IRON RECTANGULAR GRILL PA",1,0
"RETAILER CAST IRON ROUND CASSEROLE FROS",4,0
"RETAILER CAST IRON SHALLOW CASSEROLE 31",1,0
"RETAILER CECILA CUSHION NAVY",3,0
"RETAILER CERAMIC BREAD BIN WITH BAMBOO",1,0
"RETAILER CERAMIC HEART VOTIVE CANDLE",1,0
"RETAILER CERAMIC REACTIVE GLAZE CEREAL",2,0
"RETAILER CERAMIC REACTIVE GLAZE DINNER",1,0
"RETAILER CERAMIC REACTIVE GLAZE MUGS 32",1,0
"RETAILER CERAMIC REACTIVE GLAZE PASTA B",1,0
"RETAILER CERAMIC REACTIVE GLAZE SERVING",1,0
"RETAILER CERAMIC REACTIVE GLAZE SIDE PL",1,0
"RETAILER CERAMIC UTENSIL POT WHITE NETT",2,0
"RETAILER CERTIFICATE FRAME MOUNT A4 BLA",1,0
"RETAILER CHAMBRAY COTTON SEAT PAD BLUE",1,0
"RETAILER CHAMBRAY LINEN FITTED SHEET KI",1,0
"RETAILER CHANGING MAT COVER WHITE",3,0
"RETAILER CHANGING TABLE NATURAL",1,0
"RETAILER CHARCOAL BBQ BLACK",1,0
"RETAILER CHARLOTTE ARMCHAIR",8,0
"RETAILER CHARLOTTE COTBED WHITE",2,0
"RETAILER CHARLOTTE GRAND 4 SEATER SOFA",19,0
"RETAILER CHARLOTTE HIGH BACK ARMCHAIR",4,0
"RETAILER CHARLOTTE HIGH BACK GRAND 4 SE",9,0
"RETAILER CHARLOTTE HIGH BACK LARGE 3 SE",4,0
"RETAILER CHARLOTTE HIGH BACK LEATHER AR",3,0
"RETAILER CHARLOTTE HIGH BACK MEDIUM 2 S",7,0
"RETAILER CHARLOTTE HIGH BACK SMALL 2 SE",3,0
"RETAILER CHARLOTTE LARGE 3 SEATER LEATH",2,0
"RETAILER CHARLOTTE LARGE 3 SEATER SOFA",16,0
"RETAILER CHARLOTTE MEDIUM 2 SEATER LEAT",2,0
"RETAILER CHARLOTTE MEDIUM 2 SEATER SOFA",14,0
"RETAILER CHARLOTTE OTTOMAN STORAGE UPHO",3,0
"RETAILER CHARLOTTE SINGLE BED WHITE",1,0
"RETAILER CHARLOTTE SMALL 2 SEATER LEATH",1,0
"RETAILER CHARLOTTE SMALL 2 SEATER SOFA",11,0
"RETAILER CHARLOTTE SNUGGLER",6,0
"RETAILER CHARLOTTE UPHOLSTERED BED FRAM",4,0
"RETAILER CHECK PAIR LINED EYELET CURTAI",1,0
"RETAILER CHELSEA STRIPE SUPER KING DUVE",1,0
"RETAILER CHENILLE CUSHION NAVY",3,0
"RETAILER CHENILLE CUSHION RED",1,1
"RETAILER CHENILLE CUSHION SABLE",1,0
"RETAILER CHENILLE CUSHION SILVER",1,1
"RETAILER CHENILLE PAIR BLACKOUT LINED E",2,0
"RETAILER CHENILLE THROW L200 X W150CM M",2,0
"RETAILER CHESTER FOOTSTOOL",16,0
"RETAILER CHESTER GRAND 4 SEATER LEATHER",3,0
"RETAILER CHESTER GRAND 4 SEATER SOFA",20,0
"RETAILER CHESTER GRAND 4 SEATER SOFA DA",6,0
"RETAILER CHESTER LARGE 3 SEATER LEATHER",2,0
"RETAILER CHESTER LARGE 3 SEATER SOFA",16,0
"RETAILER CHESTER LARGE 3 SEATER SOFA DA",7,0
"RETAILER CHESTER LEATHER FOOTSTOOL DARK",1,0
"RETAILER CHESTER LEATHER SNUGGLER DARK",1,0
"RETAILER CHESTER MEDIUM 2 SEATER LEATHE",3,0
"RETAILER CHESTER MEDIUM 2 SEATER SOFA",12,0
"RETAILER CHESTER MEDIUM 2 SEATER SOFA D",8,0
"RETAILER CHESTER SNUGGLER",7,0
"RETAILER CHEVRON 2-SEAT DOUBLE GARDEN S",10,0
"RETAILER CHEVRON 2-SEAT GARDEN SOFA BLA",17,0
"RETAILER CHEVRON 4-SEATER ROUND GARDEN",1,0
"RETAILER CHEVRON DOUBLE GARDEN SOFA POD",5,0
"RETAILER CHEVRON DOUBLE MIRRORED BATHRO",3,0
"RETAILER CHEVRON DOUBLE TOWEL CUPBOARD",2,0
"RETAILER CHEVRON GARDEN CHAIR POD BLACK",1,0
"RETAILER CHEVRON GARDEN DINING CHAIR SE",1,0
"RETAILER CHEVRON GARDEN DOUBLE HANGING",4,0
"RETAILER CHEVRON GARDEN HANGING SEAT BL",1,0
"RETAILER CHEVRON GARDEN LOUNGING CHAIR",22,0
"RETAILER CHEVRON GARDEN SINGLE CHAIR PO",2,0
"RETAILER CHEVRON KNOT JUTE RUG L150 X W",1,0
"RETAILER CHEVRON KNOT JUTE RUG L180 X W",1,0
"RETAILER CHEVRON KNOT JUTE RUG L240 X W",1,0
"RETAILER CHEVRON ROUND GARDEN COFFEE TA",10,0
"RETAILER CHEVRON ROUND GARDEN SIDE TABL",7,0
"RETAILER CHEVRON SINGLE TOWEL CUPBOARD",2,0
"RETAILER CHEVRON STATEMENT GARDEN CHAIR",4,0
"RETAILER CHEVRON TALLBOY BATHROOM CABIN",3,0
"RETAILER CHILDREN S 3D UNICORN SLIPPERS",1,0
"RETAILER CHILDREN S BUNNY SLIPPERS GREY",1,0
"RETAILER CHILDREN S ISABELLA GLITTER BA",2,0
"RETAILER CHILDREN S KNEE HIGH PELLERINE",1,0
"RETAILER CHILDREN S LEATHER CHELSEA BOO",1,0
"RETAILER CHILDREN S OMBRE SHORT SLEEVE",1,0
"RETAILER CHILDREN S PELLERINE SOCKS PAC",1,0
"RETAILER CHILDREN S RAINDROP WELLINGTON",1,0
"RETAILER CHILDREN S RIPTAPE PLIMSOLLS W",2,0
"RETAILER CHILDREN S SPOTTY CLAW SLIPPER",1,0
"RETAILER CHILDREN S WELLINGTON BOOTS RE",1,0
"RETAILER CHINDI GEOMETRIC KELIM RUG BLU",1,0
"RETAILER CHRISSIE RECTANGULAR LAMPSHADE",1,0
"RETAILER CHRISTMAS ADVERT 2021 KIDS JUM",5,0
"RETAILER CHRISTMAS REINDEER SLEEPING BA",1,0
"RETAILER CHRISTMAS SNOWFLAKE HAND TOWEL",1,0
"RETAILER CHRISTMAS STAGS AND FAIR ISLE",1,0
"RETAILER CHUNKY KNITTED POUFFE CHLLI",2,0
"RETAILER CHUNKY SEERSUCKER SUPER KING D",1,0
"RETAILER CHUNKY WEAVE 2-SEATER GARDEN S",9,0
"RETAILER CHUNKY WEAVE 5-SEATER GARDEN C",28,0
"RETAILER CHUNKY WEAVE GARDEN FOOTSTOOL",9,0
"RETAILER CHUNKY WEAVE GARDEN LOUNGE CHA",6,0
"RETAILER CHUNKY WEAVE ROUND GARDEN COFF",19,0
"RETAILER CLASSIC CARBON STEEL NON-STICK",1,0
"RETAILER CLASSIC COLLECTION COMFORT SUP",27,0
"RETAILER CLASSIC COLLECTION LUXURY SUPP",13,0
"RETAILER CLASSIC COLLECTION ORTHO SUPPO",29,0
"RETAILER CLASSIC CORNER SHOWER BASKET C",1,0
"RETAILER CLASSIC ECO 1000 POCKET SPRING",17,0
"RETAILER CLASSIC ECO 1200 POCKET SPRING",15,0
"RETAILER CLASSIC ECO 800 POCKET SPRING",14,0
"RETAILER CLASSIC GLASS LID STAINLESS ST",2,0
"RETAILER CLASSIC IRONING BOARD L122 X W",1,0
"RETAILER CLASSIC LIDDED SAUCEPAN WITH H",1,0
"RETAILER CLASSIC PAN SET 5 PIECE",3,0
"RETAILER CLASSIC SHOWER BASKET",1,0
"RETAILER CLASSIC STAINLESS STEEL 20CM S",1,0
"RETAILER CLASSIC STAINLESS STEEL FRYING",3,0
"RETAILER CLASSIC STAINLESS STEEL LIDDED",2,0
"RETAILER CLASSIC STRIPE TRIM SINGLE DUV",1,0
"RETAILER CLASSIC STRIPE TRIM STANDARD P",1,0
"RETAILER CLASSIC SUSTAINABLE WAITROSE W",37,0
"RETAILER CLASSIC UNIVERSAL STEAMER AND",1,0
"RETAILER CLASSIC WAITROSE WOOL 1000 POC",5,0
"RETAILER CLASSIC WAITROSE WOOL 1200 POC",1,0
"RETAILER CLASSIC WAITROSE WOOL PILLOW T",3,0
"RETAILER CLASSIC WOOL 1000 POCKET SPRIN",8,0
"RETAILER CLASSIC WOOL 1200 POCKET SPRIN",3,0
"RETAILER CLASSIC WOOL PILLOW TOP 1400 P",4,0
"RETAILER CLASSICO LEATHER OFFICE DINING",4,0
"RETAILER CLAVERDON ARMCHAIR",1,0
"RETAILER CLAVERDON FOOTSTOOL",1,0
"RETAILER CLAVERDON II ARMCHAIR",1,0
"RETAILER CLAVERDON II FOOTSTOOL DARK LE",1,0
"RETAILER CLAVERDON II LEATHER ARMCHAIR",10,0
"RETAILER CLAVERDON II LEATHER FOOTSTOOL",1,0
"RETAILER CLAVERDON SEMI-ANILINE LEATHER",7,0
"RETAILER CLEO VELOUR JOGGER LOUNGE PANT",1,0
"RETAILER CLIMATE COLLECTION 1200 POCKET",14,0
"RETAILER CLIMATE COLLECTION 1600 POCKET",21,0
"RETAILER CLIMATE COLLECTION 2000 POCKET",14,0
"RETAILER CLIMATE COLLECTION COPPER 1200",14,0
"RETAILER CLIMATE COLLECTION COPPER 1600",16,0
"RETAILER CLIMATE COLLECTION COPPER 2000",16,0
"RETAILER CLOTHES SHAVER GREY",1,0
"RETAILER CLOUD COTBED WHITE",3,0
"RETAILER CLOUD DRESSER WHITE",3,0
"RETAILER CLOUD LED CEILING LIGHT WHITE",2,0
"RETAILER CLOUD VELVET DINING CHAIRS SET",6,0
"RETAILER CLOUD WARDROBE WHITE",1,0
"RETAILER CLUB LEATHER ARMCHAIR DARK LEG",2,0
"RETAILER CLUSTER TRIO SHELF FLOOR LAMP",3,0
"RETAILER CLYDE GLASS PENDANT CEILING LI",1,0
"RETAILER COASTAL CLEYSTRIPE LAMPSHADE G",1,0
"RETAILER COASTAL RETREAT SCALLOPED STON",3,0
"RETAILER COCKTAIL COUPE GLASS SET OF 4",1,0
"RETAILER COCOON SWIVEL ARMCHAIR LIGHT L",1,0
"RETAILER COIN SIDE TABLE BROWN",2,0
"RETAILER COLLAGE CONNECT RUG MULTI L240",1,0
"RETAILER COLLAGE STICKS CUSHION BLUE",1,0
"RETAILER COLLAGE STICKS CUSHION PAPRIKA",1,0
"RETAILER COLLAPSIBLE STEAMER BASKET 23C",1,0
"RETAILER COMFORT CUFF BOOT SLIPPERS BRO",1,0
"RETAILER COMPACT ARMCHAIR",2,0
"RETAILER COMPACT LARGE 3 SEATER SOFA",4,0
"RETAILER COMPACT MEDIUM 2 SEATER SOFA",4,0
"RETAILER COMPACT SMALL 2 SEATER SOFA",5,0
"RETAILER COMPTON LEATHER WING ARMCHAIR",2,0
"RETAILER COMPTON PAIR TEXTURED LINED MU",2,0
"RETAILER CONNOISSEUR HIGHBALLS SET OF 4",1,0
"RETAILER CONNOISSEUR SHERRY GLASSES SET",1,0
"RETAILER CONNOISSEUR TUMBLERS SET OF 4",2,0
"RETAILER CONSTELLATION WRAPPING PAPER 3",1,0
"RETAILER CONTEMPORARY OAK WOOD TRAY NAT",1,0
"RETAILER CONTEMPORARY PICTURE LED WALL",1,0
"RETAILER COPPER FEATURES PAN SET 5 PIEC",1,0
"RETAILER COPPER PLATED NON-STICK PAN SE",1,0
"RETAILER COPPER RIVER COPPER BAUBLE GAR",2,0
"RETAILER COPPER RIVER COPPER FILLED BAU",1,0
"RETAILER COPPER RIVER GLITTER AUTUMN LE",1,0
"RETAILER COPPER RIVER MINI BAUBLES TUB",1,0
"RETAILER COPPER RIVER SHATTERPROOF BAUB",2,0
"RETAILER COPPER RIVER SWIRL BAUBLE ORAN",1,0
"RETAILER COPPER RIVER VERTICAL GLITTER",1,0
"RETAILER CORAL LAPTOP CASE",1,0
"RETAILER CORDLESS BLACKOUT ROLLER BLIND",1,0
"RETAILER CORDLESS STICK VACUUM CLEANER",1,0
"RETAILER CORK-BACKED DECO PLACEMATS SET",1,0
"RETAILER CORSICA 4-SEATER GARDEN TABLE",10,0
"RETAILER COSY GRAND 4 SEATER SOFA",2,0
"RETAILER COSY GRAND 4 SEATER SOFA LIGHT",2,0
"RETAILER COSY LARGE 3 SEATER SOFA",10,0
"RETAILER COSY LARGE 3 SEATER SOFA LIGHT",3,0
"RETAILER COSY MEDIUM 2 SEATER SOFA",8,0
"RETAILER COSY MEDIUM 2 SEATER SOFA LIGH",2,0
"RETAILER COSY SNUGGLER",1,0
"RETAILER COTTON BATH SHEETS PACK OF 2 P",1,0
"RETAILER COTTON BATH SHEETS PACK OF 2 S",2,0
"RETAILER COTTON BATH TOWELS PACK OF 2 W",1,0
"RETAILER COTTON BLEND FURNISHING FABRIC",3,0
"RETAILER COTTON CHINO SHORTS STONE 36R",1,0
"RETAILER COTTON FACE CLOTHS PACK OF 4 S",3,0
"RETAILER COTTON POLAR BEAR PYJAMA SET B",1,0
"RETAILER COTTON RIB FULL ZIP CARDIGAN N",1,0
"RETAILER COTTON VELOUR STRIPED ROBE MUL",1,0
"RETAILER COTTON VELVET CUSHION CLARET",2,0
"RETAILER COTTON VELVET CUSHION DUCK EGG",1,0
"RETAILER COTTON VELVET CUSHION FIG",2,0.5
"RETAILER COTTON VELVET CUSHION GOLD",6,0
"RETAILER COTTON VELVET CUSHION GRAPHITE",1,0
"RETAILER COTTON VELVET CUSHION HIBISCUS",3,0
"RETAILER COTTON VELVET CUSHION IVY",3,0
"RETAILER COTTON VELVET CUSHION NAVY",2,0
"RETAILER COTTON VELVET CUSHION NOUGAT",2,0
"RETAILER COTTON VELVET CUSHION PAPRIKA",2,0
"RETAILER COTTON VELVET CUSHION SOFT PIN",1,0
"RETAILER COTTON VELVET CUSHION SOFT TEA",2,0
"RETAILER COTTON VELVET CUSHION STORM",3,0
"RETAILER COTTON VELVET CUSHION SUNBURST",2,0
"RETAILER COUNTRY BIRDS CUSHION MULTI",1,0
"RETAILER COUNTRY WATER HYACINTH STORAGE",1,0
"RETAILER COUNTRY WATER HYACINTH TRUNK",2,0
"RETAILER COVE GARDEN DECKCHAIR FRAME FS",1,0
"RETAILER COVE GARDEN SUN LOUNGER FSC-CE",3,0
"RETAILER COVER FOR CANTILEVER PARASOL G",2,0
"RETAILER COW PARSLEY CUSHION DUCK EGG",4,0
"RETAILER COW PARSLEY CUSHION PUTTY",1,0
"RETAILER COW PARSLEY CUSHION YELLOW",1,0
"RETAILER CRADLE ROPE 2-SEAT GARDEN SOFA",6,0
"RETAILER CRADLE ROPE GARDEN LOUNGING AR",5,0
"RETAILER CRADLE ROPE GARDEN SOFA CHAIRS",2,0
"RETAILER CRADLE ROUND GARDEN COFFEE TAB",2,0
"RETAILER CRISP AND FRESH 200 THREAD COU",169,0
"RETAILER CRISP AND FRESH ANTIQUE COTTON",2,0
"RETAILER CRISP AND FRESH ELLA ORIGAMI C",4,0
"RETAILER CRISP AND FRESH HARLOW EGYPTIA",2,0
"RETAILER CRISP AND FRESH LILLIAN FLORAL",3,0
"RETAILER CRISP AND FRESH SATIN STITCH 2",2,0
"RETAILER CRISP FRESH 200 THREAD COUNT E",2,0
"RETAILER CRISP FRESH EGYPTIAN COTTON 80",2,0
"RETAILER CROMWELL CHESTERFIELD GRAND 4",58,0
"RETAILER CROMWELL CHESTERFIELD LARGE 3",103,0
"RETAILER CROMWELL CHESTERFIELD LEATHER",11,0
"RETAILER CROMWELL CHESTERFIELD SMALL 2",28,0
"RETAILER CROMWELL CHESTERFIELD SMALL SO",18,0
"RETAILER CROMWELL CHESTERFIELD SNUGGLER",18,0
"RETAILER CROSS FAUX FUR SLIDER SLIPPERS",1,0
"RETAILER CUBE STORAGE DESK NATURAL",1,0
"RETAILER CUBIC ZIRCONIA STAR STUD EARRI",1,0
"RETAILER CUBOID SEMI FLUSH CEILING LIGH",1,0
"RETAILER CURTAIN TRACK EXTENSION BRACKE",1,0
"RETAILER CURVE IRONING BOARD L134 X W45",1,0
"RETAILER CURVED MEDIUM 2 SEATER SOFA LI",1,0
"RETAILER DAINTY FLORAL COTTON RICH ANKL",1,0
"RETAILER DANO LED OMBRE GLASS CEILING L",1,0
"RETAILER DANTE 2 SEATER GARDEN SOFA NAT",1,0
"RETAILER DANTE 3 SEATER GARDEN SOFA GRE",1,0
"RETAILER DANTE 3 SEATER GARDEN SOFA NAT",2,0
"RETAILER DANTE 4-SEAT ROUND GLASS TOP G",5,0
"RETAILER DANTE 6-SEAT ROUND GLASS TOP G",3,0
"RETAILER DANTE CORNER GARDEN SOFA FOOTS",6,0
"RETAILER DANTE DELUXE GARDEN DINING ARM",2,0
"RETAILER DANTE GARDEN DINING ARMCHAIR G",4,0
"RETAILER DANTE GARDEN DINING ARMCHAIR N",4,0
"RETAILER DANTE GARDEN DINING TABLE 6 AR",7,0
"RETAILER DANTE GARDEN HANGING POD CHAIR",8,0.125
"RETAILER DANTE GARDEN LOUNGING ARMCHAIR",3,0
"RETAILER DANTE GLASS TOP GARDEN BISTRO",1,0
"RETAILER DANTE LUXE GARDEN SUN LOUNGER",2,0
"RETAILER DANTE LUXURY GARDEN SUN LOUNGE",2,0
"RETAILER DANTE POD HANGING CHAIR COVER",2,0
"RETAILER DANTE RECTANGULAR GARDEN COFFE",1,0
"RETAILER DANTE SMALL CEILING LIGHT CLEA",1,0
"RETAILER DASH DIAMOND QUILTED BEDSPREAD",1,0
"RETAILER DECKCHAIR STRIPE BEACH TOWEL N",1,0
"RETAILER DECO FAN PAIR LINED EYELET CUR",2,0
"RETAILER DECO GLASS WALL MIRROR",1,0
"RETAILER DECO TOILET ROLL HOLDER",1,0
"RETAILER DECORATIVE CURVED TOP WALL MIR",1,0
"RETAILER DECORATIVE OVERMANTLE MIRROR 1",1,0
"RETAILER DEEP PILE BATH MAT LARGE DARK",1,0
"RETAILER DEEP PILE BATH MAT LARGE LINEN",1,0
"RETAILER DEEP PILE BATH MAT LARGE PALE",1,0
"RETAILER DEEP PILE BATH MAT LARGE STONE",1,0
"RETAILER DEEP PILE BATH MAT MEDIUM PALE",2,0
"RETAILER DEEP PILE CURVE BATH MAT WHITE",2,0
"RETAILER DEEP PILE PEDESTAL MAT DOVE GR",1,0
"RETAILER DEEP PILE PEDESTAL MAT PALE TE",1,0
"RETAILER DEEP PILE PEDESTAL MAT STONE",1,0
"RETAILER DEEP PILE SHOWER MAT DOVE GREY",1,0
"RETAILER DELANEY METALLIC GLAZE BULBHOL",1,0
"RETAILER DELANEY METALLIC GLAZE CERAMIC",6,0
"RETAILER DELICATE LEAVES DOUBLE DUVET C",1,0
"RETAILER DELUXE BABY BATH WHITE",1,0
"RETAILER DEVON EASY-TO-FIT LARGE CEILIN",2,0
"RETAILER DEVON EASY-TO-FIT SMALL CEILIN",2,0
"RETAILER DEVON FLOOR LAMP TAUPE",1,0
"RETAILER DEVON FLOOR LAMP WHITE",3,0
"RETAILER DEVON LONG SLEEVE NIGHTDRESS T",1,0
"RETAILER DEVON TABLE LAMP WHITE",2,0
"RETAILER DIAMOND CHEVRON PATTERN COTTON",2,0
"RETAILER DIAMOND TUFTED BATH MAT",3,0
"RETAILER DIAMONDS CUSHION BLACK WHITE",1,0
"RETAILER DIAMONDS CUSHION INDIAN BLUE",3,0
"RETAILER DIAMONDS CUSHION NATURAL",1,0
"RETAILER DIAMONDS CUSHION PAPRIKA",3,0
"RETAILER DIAMONDS CUSHION SAFFRON",4,0
"RETAILER DICE SHELVING UNIT BOOKCASE WA",3,0
"RETAILER DICE TALL SHELVING UNIT OAK GR",1,0
"RETAILER DICE TALL SHELVING UNIT WALNUT",4,0
"RETAILER DICE TV STAND SIDEBOARD FOR TV",1,0
"RETAILER DIGITAL OIL RADIATOR",2,0
"RETAILER DIPPED CERAMIC KITCHEN STORAGE",3,0
"RETAILER DIPPED STONEWARE MUG 400ML OCH",1,0
"RETAILER DISTRESSED MEDALLION POUFFE MU",2,0
"RETAILER DISTRESSED OVERMANTLE MIRROR 9",1,0
"RETAILER DISTRESSED VELVET CUSHION MID",1,0
"RETAILER DISTRESSED VELVET CUSHION SPRU",1,0
"RETAILER DOME TABLE LAMP BRASS",2,0
"RETAILER DOME TABLESPOON",1,0
"RETAILER DOUBLE HEXAGON LED CEILING LIG",1,0
"RETAILER DOUBLE JIGGER",3,0
"RETAILER DOUBLE MIRRORED BATHROOM CABIN",3,0
"RETAILER DOUBLE POLY-RATTAN LAUNDRY BAS",2,0
"RETAILER DOUBLE ROBE HOOK POLISHED CHRO",1,0
"RETAILER DOUBLE WALL STAINLESS STEEL 3",1,0
"RETAILER DRAPER 5 SEATER LHF CHAISE END",8,0
"RETAILER DRAPER 5 SEATER RHF CHAISE END",13,0
"RETAILER DRAPER ARMCHAIR",11,0
"RETAILER DRAPER ARMCHAIR METAL LEG",3,0
"RETAILER DRAPER FOOTSTOOL",5,0
"RETAILER DRAPER FOOTSTOOL METAL LEG",3,0
"RETAILER DRAPER GRAND 4 SEATER LEATHER",3,0
"RETAILER DRAPER GRAND 4 SEATER SOFA",21,0
"RETAILER DRAPER GRAND 4 SEATER SOFA LIG",5,0
"RETAILER DRAPER GRAND 4 SEATER SOFA MET",4,0
"RETAILER DRAPER LARGE 3 SEATER LEATHER",12,0
"RETAILER DRAPER LARGE 3 SEATER SOFA",56,0
"RETAILER DRAPER LARGE 3 SEATER SOFA DAR",9,0
"RETAILER DRAPER LARGE 3 SEATER SOFA LIG",20,0
"RETAILER DRAPER LARGE 3 SEATER SOFA MET",6,0
"RETAILER DRAPER LARGE 3 SEATER VELVET S",1,0
"RETAILER DRAPER LEATHER ARMCHAIR DARK L",5,0
"RETAILER DRAPER LEATHER ARMCHAIR METAL",5,0
"RETAILER DRAPER LEATHER GRAND 4 SEATER",3,0
"RETAILER DRAPER MEDIUM 2 SEATER LEATHER",7,0
"RETAILER DRAPER MEDIUM 2 SEATER SOFA",21,0
"RETAILER DRAPER MEDIUM 2 SEATER SOFA DA",6,0
"RETAILER DRAPER MEDIUM 2 SEATER SOFA LI",4,0
"RETAILER DRAPER MEDIUM 2 SEATER SOFA ME",3,0
"RETAILER DRAPER MEDIUM 2 SEATER VELVET",1,0
"RETAILER DRAPER MOTION ARMCHAIR WITH FO",7,0
"RETAILER DRAPER MOTION LARGE 3 SEATER L",5,0
"RETAILER DRAPER MOTION LARGE 3 SEATER S",36,0
"RETAILER DRAPER MOTION LEATHER ARMCHAIR",1,0
"RETAILER DRAPER MOTION MEDIUM 2 SEATER",23,0
"RETAILER DRIFT BRASS FINISH SOAP PUMP N",1,0
"RETAILER DRIFT SOAP DISH NATURAL",1,0
"RETAILER DRIFT TOILET BRUSH BRASS FINIS",1,0
"RETAILER DRIFT TOILET BRUSH GREY",1,0
"RETAILER DRIFT TOILET ROLL HOLDER BRASS",1,0
"RETAILER DUAL HOOD 5 BURNER GAS CHARCOA",1,0
"RETAILER DUAL HOOD BBQ COVER GREY",2,0
"RETAILER DUAL TONE COTBED GREY",1,0
"RETAILER DUAL TONE COTBED WHITE NATURAL",2,0
"RETAILER DUAL TONE SCANDI DRESSER GREY",1,0
"RETAILER DUCK FEATHER CUSHION PAD 45 X",2,0
"RETAILER DUCK FEATHER CUSHION PAD 50 X",1,0
"RETAILER DUHRER 4-6 SEATER EXTENDING RO",25,0
"RETAILER DUHRER 6-10 SEATER EXTENDING D",8,0
"RETAILER DUHRER COFFEE TABLE",3,0
"RETAILER DUHRER LARGE SIDEBOARD OAK",5,0
"RETAILER DUHRER NEST OF 3 TABLES",2,0
"RETAILER DUHRER SHELVING UNIT",1,0
"RETAILER DUHRER SOFA SIDE TABLE OAK",1,0
"RETAILER DUHRER TV STAND FOR TVS UP TO",1,0
"RETAILER DUO SHELF FLOOR LAMP BRUSHED S",1,0
"RETAILER DUO WALL BATHROOM MIRROR 60 X",2,0
"RETAILER DUPLET DAYBED",8,0
"RETAILER DUPLET DAYBED LIGHT LEG HATTON",1,0
"RETAILER DUPLET DAYBED LIGHT LEG ISABEL",1,0
"RETAILER EASDALE LLOYD LOOM DINING CHAI",2,0
"RETAILER EASY CARE ORGANIC COTTON DOUBL",7,0
"RETAILER EASY CARE ORGANIC COTTON FITTE",7,0
"RETAILER EASY CARE ORGANIC COTTON KING",7,0
"RETAILER EASY CARE ORGANIC COTTON OXFOR",5,0
"RETAILER EASY CARE ORGANIC COTTON SINGL",1,0
"RETAILER EASY CARE ORGANIC COTTON STAND",12,0
